"Station Name","VANCOUVER INTL A"
"Province","BRITISH COLUMBIA"
"Latitude","49.19"
"Longitude","-123.18"
"Elevation","4.30"
"Climate Identifier","1108395"
"WMO Identifier","71892"
"TC Identifier","YVR"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2013-01-01","2013","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-02","2013","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-03","2013","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-04","2013","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-05","2013","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-06","2013","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-07","2013","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-08","2013","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-09","2013","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-10","2013","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-11","2013","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-12","2013","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-13","2013","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-14","2013","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-15","2013","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-16","2013","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-17","2013","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-18","2013","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-19","2013","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-20","2013","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-21","2013","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-22","2013","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-23","2013","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-24","2013","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-25","2013","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-26","2013","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-27","2013","01","27","","","","","","","","","","","","","","","","","","","","","","",""
